Tue Jun 30 16:25:35 2020       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 450.36.06    Driver Version: 450.36.06    CUDA Version: 11.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Quadro RTX 6000     On   | 00000000:1A:00.0 Off |                  Off |
| 33%   33C    P8    15W / 260W |      1MiB / 24220MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
|   1  Quadro RTX 6000     On   | 00000000:1B:00.0 Off |                  Off |
| 33%   35C    P8     4W / 260W |      1MiB / 24220MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
|   2  Quadro RTX 6000     On   | 00000000:60:00.0 Off |                  Off |
| 33%   38C    P8    10W / 260W |      1MiB / 24220MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
|   3  Quadro RTX 6000     On   | 00000000:61:00.0 Off |                  Off |
| 33%   48C    P2    86W / 260W |  11912MiB / 24220MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|    3   N/A  N/A     56463      C   python                          11623MiB |
+-----------------------------------------------------------------------------+
Running python script now
Beginning training for CCSRResNet model...
Using the following hyperparemters:
Data:                 /data/pacole2/DeepLesionPreprocessed/miniStudies/
Dataset:              DeepLesion
Upscale:              1
Learning rate:        0.0001
Number of epochs:     300
Prints per epoch:     10
Start decay:          250
Batch size:           32
Content loss:         mse
CLambda:              1.0
WLambda:              0.001
Check Sample:         True
Checkpoint directory: checkpoints/ccsrresnet_dl/mse/
Load:                 True
Prefix:               last
Cuda:                 2

GPU devices being used:  [0, 1]
Epoch [179 / 300]
===> Epoch [179 / 300]: Batch [105 / 1058]: Gradient Penalty: 0.0354, D Fake Loss: 94.1011, D Real Loss: 94.7175, Wasserstein Loss: -94.0709, Content Loss: 0.0002, PSNR: 37.89
===> Epoch [179 / 300]: Batch [210 / 1058]: Gradient Penalty: 0.0357, D Fake Loss: 94.5285, D Real Loss: 95.1391, Wasserstein Loss: -94.4869, Content Loss: 0.0002, PSNR: 37.93
===> Epoch [179 / 300]: Batch [315 / 1058]: Gradient Penalty: 0.0370, D Fake Loss: 94.4333, D Real Loss: 95.0526, Wasserstein Loss: -94.3974, Content Loss: 0.0002, PSNR: 37.86
===> Epoch [179 / 300]: Batch [420 / 1058]: Gradient Penalty: 0.0378, D Fake Loss: 94.4303, D Real Loss: 95.0482, Wasserstein Loss: -94.3837, Content Loss: 0.0002, PSNR: 37.82
===> Epoch [179 / 300]: Batch [525 / 1058]: Gradient Penalty: 0.0381, D Fake Loss: 94.2780, D Real Loss: 94.8950, Wasserstein Loss: -94.2354, Content Loss: 0.0002, PSNR: 37.84
===> Epoch [179 / 300]: Batch [630 / 1058]: Gradient Penalty: 0.0378, D Fake Loss: 94.0450, D Real Loss: 94.6607, Wasserstein Loss: -94.0074, Content Loss: 0.0002, PSNR: 37.84
===> Epoch [179 / 300]: Batch [735 / 1058]: Gradient Penalty: 0.0383, D Fake Loss: 94.0792, D Real Loss: 94.6941, Wasserstein Loss: -94.0458, Content Loss: 0.0002, PSNR: 37.86
===> Epoch [179 / 300]: Batch [840 / 1058]: Gradient Penalty: 0.0386, D Fake Loss: 93.9812, D Real Loss: 94.5958, Wasserstein Loss: -93.9431, Content Loss: 0.0002, PSNR: 37.84
===> Epoch [179 / 300]: Batch [945 / 1058]: Gradient Penalty: 0.0388, D Fake Loss: 93.9679, D Real Loss: 94.5832, Wasserstein Loss: -93.9351, Content Loss: 0.0002, PSNR: 37.85
===> Epoch [179 / 300]: Batch [1050 / 1058]: Gradient Penalty: 0.0388, D Fake Loss: 93.9459, D Real Loss: 94.5609, Wasserstein Loss: -93.9147, Content Loss: 0.0002, PSNR: 37.85
Epoch [179 / 300]: Gradient Penalty: 0.0388, D Fake Loss: 93.9504, D Real Loss: 94.5658, Wasserstein Loss: -93.9207, Content Loss: 0.0002, PSNR: 37.85
Epoch [180 / 300]
===> Epoch [180 / 300]: Batch [105 / 1058]: Gradient Penalty: 0.0418, D Fake Loss: 95.5376, D Real Loss: 96.1798, Wasserstein Loss: -95.4803, Content Loss: 0.0002, PSNR: 37.61
===> Epoch [180 / 300]: Batch [210 / 1058]: Gradient Penalty: 0.0403, D Fake Loss: 95.1721, D Real Loss: 95.8033, Wasserstein Loss: -95.1278, Content Loss: 0.0002, PSNR: 37.68
===> Epoch [180 / 300]: Batch [315 / 1058]: Gradient Penalty: 0.0398, D Fake Loss: 94.9236, D Real Loss: 95.5578, Wasserstein Loss: -94.8990, Content Loss: 0.0002, PSNR: 37.73
===> Epoch [180 / 300]: Batch [420 / 1058]: Gradient Penalty: 0.0398, D Fake Loss: 94.8640, D Real Loss: 95.4933, Wasserstein Loss: -94.8442, Content Loss: 0.0002, PSNR: 37.79
===> Epoch [180 / 300]: Batch [525 / 1058]: Gradient Penalty: 0.0394, D Fake Loss: 94.6652, D Real Loss: 95.2911, Wasserstein Loss: -94.6291, Content Loss: 0.0002, PSNR: 37.81
===> Epoch [180 / 300]: Batch [630 / 1058]: Gradient Penalty: 0.0393, D Fake Loss: 94.4245, D Real Loss: 95.0465, Wasserstein Loss: -94.3931, Content Loss: 0.0002, PSNR: 37.83
